Document_ID,Destruction_Authorised_by_Employee_ID,Destroyed_by_Employee_ID,Planned_Destruction_Date,Actual_Destruction_Date,Other_Details
7,156,138,1988-02-01 14:41:52,2017-01-06 23:17:22,NULL
11,55,173,2010-11-26 19:22:50,1986-10-14 17:53:39,NULL
25,183,156,2009-08-18 03:29:08,1995-01-01 03:52:11,NULL
39,183,136,1976-06-15 03:40:06,2009-08-18 03:29:08,NULL
99,55,99,2017-01-06 23:17:22,1986-10-14 17:53:39,NULL
111,38,173,1972-03-31 09:47:22,2009-08-18 03:29:08,NULL
120,183,173,1972-03-31 09:47:22,1995-01-01 03:52:11,NULL
166,156,38,1987-11-05 06:11:22,2012-07-03 09:48:46,NULL
170,123,136,2017-01-06 23:17:22,1988-02-01 14:41:52,NULL
252,30,55,1972-03-31 09:47:22,1985-05-13 12:19:43,NULL
260,55,99,2017-01-06 23:17:22,2017-01-06 23:17:22,NULL
