part_fault_id,part_id,fault_short_name,fault_description,other_fault_details
1,1,PW,Package Wrong,NULL
2,1,PW,Package Wrong,NULL
3,3,TW,Top Parts Wrong,NULL
4,1,PW,Package Wrong,NULL
5,1,MW,Medium Scale Wrong,NULL
6,2,PW,Package Wrong,NULL
7,1,PW,Package Wrong,NULL
8,3,TW,Top Parts Wrong,NULL
9,3,PW,Package Wrong,NULL
10,1,PW,Package Wrong,NULL
11,3,MW,Medium Scale Wrong,NULL
12,2,MW,Medium Scale Wrong,NULL
13,3,TW,Top Parts Wrong,NULL
14,1,TW,Top Parts Wrong,NULL
15,3,MW,Medium Scale Wrong,NULL
