Document_ID,Date_Stored,Document_Type_Code,Document_Name,Document_Description,Other_Details
7,1976-06-15 03:40:06,CV,Robin CV,NULL,NULL
11,1986-10-14 17:53:39,CV,Marry CV,NULL,NULL
25,2008-06-08 12:45:38,BK,One hundred years of solitude,NULL,NULL
39,2012-07-03 09:48:46,BK,How to read a book,NULL,NULL
72,2012-07-03 09:48:46,CV,Alan CV,NULL,NULL
81,1995-01-01 03:52:11,BK,Hua Mulan,NULL,NULL
99,2008-06-08 12:45:38,CV,Leon CV,NULL,NULL
111,1987-11-05 06:11:22,PR,Learning features of CNN,NULL,NULL
119,2008-06-08 12:45:38,RV,Marriage and population,NULL,NULL
120,1997-03-10 15:24:00,RV,Society and tax,NULL,NULL
166,1997-03-10 15:24:00,PR,Are you talking to a machine,NULL,NULL
170,2009-08-18 03:29:08,RV,Population,NULL,NULL
230,1976-06-15 03:40:06,CV,Martin CV,NULL,NULL
252,1976-06-15 03:40:06,BK,Summer,NULL,NULL
260,1997-03-10 15:24:00,BK,Cats and me,NULL,NULL
