Tourist_Attraction_ID,Attraction_Type_Code,Location_ID,How_to_Get_There,Name,Description,Opening_Hours,Other_Details
2113,2,579,bus,art museum,NULL,NULL,NULL
2701,6,417,walk,UK gallery,NULL,NULL,NULL
5076,2,868,shuttle,flying elephant,NULL,NULL,NULL
5265,5,603,bus,film festival,NULL,NULL,NULL
6476,3,417,shuttle,US museum,NULL,NULL,NULL
6523,9,858,walk,fun games,NULL,NULL,NULL
6653,9,655,walk,history gallery,NULL,NULL,NULL
6852,5,858,walk,exploration trial,NULL,NULL,NULL
7067,5,417,bus,haunted mansion,NULL,NULL,NULL
8429,9,867,walk,presidents hall,NULL,NULL,NULL
8449,2,579,bus,impressions de France,NULL,NULL,NULL
8698,5,661,bus,jungle cruise,NULL,NULL,NULL
9360,5,868,shuttle,fun shops,NULL,NULL,NULL
9561,2,759,bus,cafe,NULL,NULL,NULL
9919,6,579,shuttle,parking,NULL,NULL,NULL
