order_id,customer_id,date_order_placed,order_details
1,12,2012-06-27 20:49:56,NULL
2,12,2012-08-25 07:51:54,NULL
3,8,2017-11-05 15:32:38,NULL
4,5,2017-11-27 21:50:58,NULL
5,15,2015-05-17 03:05:32,NULL
6,5,2015-11-25 22:55:41,NULL
7,3,2016-04-15 03:33:59,NULL
8,3,2010-01-28 03:43:26,NULL
9,2,2017-03-08 05:42:10,NULL
10,11,2017-12-04 02:59:10,NULL
11,14,2010-10-22 06:45:16,NULL
12,1,2017-05-24 19:26:44,NULL
13,10,2015-08-06 22:40:40,NULL
14,10,2017-10-29 04:20:08,NULL
15,6,2013-10-25 17:40:25,NULL
