characteristic_id,characteristic_type_code,characteristic_data_type,characteristic_name,other_characteristic_details
1,Grade,numquam,slow,NULL
2,Grade,doloribus,fast,NULL
3,Purity,rem,warm,NULL
4,Grade,aut,hot,NULL
5,Purity,impedit,hot,NULL
6,Purity,qui,warm,NULL
7,Grade,et,cool,NULL
8,Grade,dolores,cool,NULL
9,Grade,quam,cool,NULL
10,Grade,velit,fast,NULL
11,Purity,at,fast,NULL
12,Grade,totam,error,NULL
13,Purity,mollitia,slow,NULL
14,Purity,placeat,slow,NULL
15,Grade,facere,slow,NULL
